prodcode,productname,add,apd,hyp
40892,paroxetine 20mg tablets (genus pharmaceuticals ltd),1,,
48199,ranfaxine xl 75mg capsules (ranbaxy (uk) ltd),1,,
12129,sinequan 25mg capsules (pfizer ltd),1,,
34856,fluoxetine 60mg capsules (generics (uk) ltd),1,,
36893,fluoxetine 20mg/5ml oral solution sugar free,1,,
25444,lomont 70mg/5ml oral suspension (rosemont pharmaceuticals ltd),1,,
42600,vexarin xl 75mg capsules (generics (uk) ltd),1,,
40277,vensir xl 75mg capsules (morningside healthcare ltd),1,,
39770,tifaxin xl 75mg capsules (genus pharmaceuticals ltd),1,,
24680,elavil 10mg tablet (ddsa pharmaceuticals ltd),1,,
1310,imipramine 10mg tablets,1,,
4218,lofepramine 70mg/5ml oral suspension sugar free,1,,
31672,prondol 30mg tablet (wyeth pharmaceuticals),1,,
34107,amitriptyline 50mg tablets (wockhardt uk ltd),1,,
50934,venlafaxine 150mg/5ml oral solution,1,,
45226,trimipramine 25mg tablets (a a h pharmaceuticals ltd),1,,
54342,mirtazapine 15mg tablets (medreich plc),1,,
12353,aventyl 25mg capsule (eli lilly and company ltd),1,,
54933,sertraline 100mg tablets (pliva pharma ltd),1,,
34436,citalopram 10mg tablets (generics (uk) ltd),1,,
3183,nortriptyline 10mg tablets,1,,
6421,mirtazapine 15mg orodispersible tablets,1,,
4118,nortriptyline 10mg capsule,1,,
24152,amitriptyline 10mg tablets (teva uk ltd),1,,
48216,nortriptyline 25mg tablets (a a h pharmaceuticals ltd),1,,
32863,imipramine 10mg tablets (teva uk ltd),1,,
51758,prothiaden 25mg capsules (stephar (u.k.) ltd),1,,
4329,mianserin 20mg tablets,1,,
60355,amitriptyline 25mg tablets (phoenix healthcare distribution ltd),1,,
58664,sertraline 50mg tablets (generics (uk) ltd),1,,
24145,amitriptyline 25mg tablets (actavis uk ltd),1,,
48026,citalopram 20mg tablets (almus pharmaceuticals ltd),1,,
48065,amitriptyline oral solution,1,,
40160,mirtazapine 30mg tablets (actavis uk ltd),1,,
7894,anafranil sr 75mg tablets (novartis pharmaceuticals uk ltd),1,,
34474,amitriptyline 25mg tablet (regent laboratories ltd),1,,
34356,citalopram 20mg tablets (a a h pharmaceuticals ltd),1,,
46668,mirtazapine 15mg tablets (arrow generics ltd),1,,
59694,mirtazapine 30mg orodispersible tablets (phoenix healthcare distribution ltd),1,,
7755,concordin 10 tablet (merck sharp & dohme ltd),1,,
6854,mirtazapine 45mg tablets,1,,
23497,amitriptyline 300 mg tab,1,,
3903,nortriptyline 25mg tablets,1,,
34966,citalopram 20mg tablets (teva uk ltd),1,,
33071,felicium 20mg capsules (opus pharmaceuticals ltd),1,,
57978,trimipramine 25mg tablets (waymade healthcare plc),1,,
8726,tryptizol 10mg tablet (merck sharp & dohme ltd),1,,
25085,trimipramine,1,,
32401,sertraline 50mg tablets (a a h pharmaceuticals ltd),1,,
1809,imipramine 25mg tablets,1,,
40726,escitalopram 20mg/ml oral drops sugar free,1,,
55501,venlafaxine 150mg modified-release capsule (hillcross pharmaceuticals ltd),1,,
9182,efexor 75mg tablets (wyeth pharmaceuticals),1,,
14534,limbitrol 5 capsule (roche products ltd),1,,
52516,alventa xl 150mg capsules (consilient health ltd),1,,
20152,escitalopram 10mg/ml oral drops sugar free,1,,
58291,mirtazapine 15mg orodispersible tablets (pfizer ltd),1,,
29857,trazodone 150mg tablets (teva uk ltd),1,,
4907,prozac 60mg capsules (eli lilly and company ltd),1,,
42078,amitriptyline 25mg tablets (almus pharmaceuticals ltd),1,,
34872,imipramine 25mg tablet (c p pharmaceuticals ltd),1,,
26213,domical 10mg tablet (berk pharmaceuticals ltd),1,,
34197,amitriptyline 25mg tablet (berk pharmaceuticals ltd),1,,
54644,mirtazapine 15mg tablets (pfizer ltd),1,,
55488,sertraline 50mg tablets (teva uk ltd),1,,
56209,mirtazapine 30mg tablets (phoenix healthcare distribution ltd),1,,
12368,norval 10mg tablet (bencard),1,,
3861,cipramil 10mg tablets (lundbeck ltd),1,,
8055,imipramine 25mg/5ml oral solution,1,,
13496,amitriptyline 200 mg tab,1,,
39809,tifaxin xl 150mg capsules (genus pharmaceuticals ltd),1,,
7784,imipramine 50 mg tab,1,,
1397,paroxetine 30mg tablets,1,,
4422,tryptophan 500mg tablets,1,,
45224,fluoxetine 20mg capsules (sandoz ltd),1,,
12221,pacitron 500mg tablet (rorer pharmaceuticals ltd),1,,
15632,dothapax 75 tablets (ashbourne pharmaceuticals ltd),1,,
34731,amitriptyline 10mg tablets (kent pharmaceuticals ltd),1,,
34401,amitriptyline 10mg tablets (wockhardt uk ltd),1,,
34003,trazodone 50mg capsules (a a h pharmaceuticals ltd),1,,
40054,venlafaxine 225mg modified-release tablets,1,,
56457,venlafaxine 75mg tablets (teva uk ltd),1,,
4690,amitriptyline 50mg/5ml oral solution sugar free,1,,
43024,dosulepin 100mg/5ml oral solution,1,,
45915,sertraline 50mg tablets (almus pharmaceuticals ltd),1,,
21081,amitriptyline 12.5mg / chlordiazepoxide 5mg capsules,1,,
27568,surmontil,1,,
39360,venlafaxine 150mg modified-release tablets,1,,
12503,marplan 10mg tablet (cambridge laboratories ltd),1,,
56501,tofranil 25mg tablets (lexon (uk) ltd),1,,
6255,mianserin 30mg tablets,1,,
32899,paroxetine 20mg tablets (actavis uk ltd),1,,
25070,lofepramine,1,,
57751,tonpular xl 150mg capsules (wockhardt uk ltd),1,,
34603,citalopram 40mg tablets (generics (uk) ltd),1,,
23334,faverin,1,,
26822,prothiaden,1,,
47966,mirtazapine 15mg/ml oral solution sugar free (rosemont pharmaceuticals ltd),1,,
3670,clomipramine 25mg capsules,1,,
8661,clomipramine 75mg modified-release tablets,1,,
2531,surmontil 50mg capsules (sanofi),1,,
8720,clomipramine 25mg/5ml oral solution,1,,
24700,prondol 15mg tablet (wyeth pharmaceuticals),1,,
45242,amitriptyline 10mg tablet (sussex pharmaceutical ltd),1,,
36746,citalopram 40mg tablets (a a h pharmaceuticals ltd),1,,
3925,clomipramine 50mg capsules,1,,
34722,citalopram 20mg tablet (neo laboratories ltd),1,,
18342,amitriptyline 25mg / chlordiazepoxide 10mg capsules,1,,
4404,tofranil 25mg/5ml syrup (novartis pharmaceuticals uk ltd),1,,
31168,mirtazapine,1,,
35258,sinepin 25mg capsules (marlborough pharmaceuticals ltd),1,,
5611,optimax 500mg tablets (merck serono ltd),1,,
2880,fluvoxamine 50mg tablets,1,,
785,cipralex 5mg tablets (lundbeck ltd),1,,
34849,fluoxetine 20mg capsules (tillomed laboratories ltd),1,,
16154,mirtazapine 15mg/ml oral solution sugar free,1,,
45959,depefex xl 75mg capsules (chiesi ltd),1,,
20026,domical 25mg tablet (berk pharmaceuticals ltd),1,,
53787,citalopram 10mg tablets (bristol laboratories ltd),1,,
40049,viepax xl 150mg tablets (dexcel-pharma ltd),1,,
29756,paxoran 20mg tablet (ranbaxy (uk) ltd),1,,
40514,venaxx xl 150mg capsules (amco),1,,
5187,moclobemide 300mg tablets,1,,
19186,dosulepin 75mg tablets (actavis uk ltd),1,,
56009,citalopram 20mg tablets (arrow generics ltd),1,,
4194,molipaxin 100mg capsules (zentiva),1,,
42499,fluoxetine 10mg tablets,1,,
40764,viepax 37.5mg tablets (dexcel-pharma ltd),1,,
34413,citalopram 10mg tablets (zentiva),1,,
22,fluoxetine 20mg capsules,1,,
6488,mirtazapine 30mg orodispersible tablets,1,,
34745,dosulepin 25mg capsules (actavis uk ltd),1,,
34129,amitriptyline 25mg tablets (wockhardt uk ltd),1,,
29786,ranflutin 20mg capsules (ranbaxy (uk) ltd),1,,
2985,lentizol 50mg modified-release capsules (pfizer ltd),1,,
45223,citalopram 40mg tablets (niche generics ltd),1,,
59161,amitriptyline 10mg tablets (waymade healthcare plc),1,,
41654,tranylcypromine 10mg tablets (amco),1,,
648,cipralex 10mg tablets (lundbeck ltd),1,,
34916,amitriptyline 10mg tablet (berk pharmaceuticals ltd),1,,
58726,venladex xl 150mg tablets (dexcel-pharma ltd),1,,
32848,citalopram 10mg tablets (actavis uk ltd),1,,
7677,allegron 10mg tablets (king pharmaceuticals ltd),1,,
32121,dosulepin 75mg tablets (a a h pharmaceuticals ltd),1,,
43236,mirtazapine 45mg orodispersible tablets (actavis uk ltd),1,,
22872,doxepin hcl,1,,
43248,mirtazapine 15mg orodispersible tablets (focus pharmaceuticals ltd),1,,
15380,asendis 25mg tablet (wyeth pharmaceuticals),1,,
41299,politid xl 75mg capsules (actavis uk ltd),1,,
41710,trazodone 100mg capsules (zentiva),1,,
13318,anafranil 25 mg inj,1,,
43241,mirtazapine 15mg orodispersible tablets (aurobindo pharma ltd),1,,
40092,vensir xl 150mg capsules (morningside healthcare ltd),1,,
59753,sunveniz xl 150mg tablets (sun pharmaceuticals uk ltd),1,,
59563,venlafaxine 75mg modified-release capsules (kent pharmaceuticals ltd),1,,
57936,citalopram 40mg/ml oral drops sugar free (a a h pharmaceuticals ltd),1,,
488,sertraline 50mg tablets,1,,
46801,amitriptyline 10mg/5ml oral solution,1,,
58723,sertraline 50mg tablets (accord healthcare ltd),1,,
34813,imipramine 25mg tablets (a a h pharmaceuticals ltd),1,,
13237,venlafaxine 37.5mg/5ml oral suspension,1,,
1888,amitriptyline 50mg tablets,1,,
43334,venlafaxine 150mg modified-release capsules (sandoz ltd),1,,
59953,mirtazapine 15mg tablets (almus pharmaceuticals ltd),1,,
7059,doxepin 75mg capsules,1,,
12207,isocarboxazid 10mg tablets,1,,
513,citalopram 40mg/ml oral drops sugar free,1,,
55137,trazodone 150mg/5ml oral suspension,1,,
58476,citalopram 20mg tablets (aurobindo pharma ltd),1,,
41609,trazodone 50mg capsules (teva uk ltd),1,,
34970,citalopram 20mg tablets (niche generics ltd),1,,
55482,mirtazapine 15mg orodispersible tablets (generics (uk) ltd),1,,
5073,doxepin 50mg capsules,1,,
4770,citalopram 40mg tablets,1,,
43518,fluvoxamine 100mg tablets (ivax pharmaceuticals uk ltd),1,,
7751,tryptizol 25mg tablet (merck sharp & dohme ltd),1,,
44861,fluvoxamine 100mg tablets (actavis uk ltd),1,,
41033,rodomel xl 75mg capsules (teva uk ltd),1,,
2525,amitriptyline 75mg modified-release capsules,1,,
21157,thaden 75mg tablets (opus pharmaceuticals ltd),1,,
57926,dosulepin 75mg/5ml oral solution,1,,
727,sertraline 100mg tablets,1,,
4003,molipaxin 150mg tablets (zentiva),1,,
6895,duloxetine 60mg gastro-resistant capsules,1,,
40917,viepax 75mg tablets (dexcel-pharma ltd),1,,
34351,paroxetine 20mg tablets (ivax pharmaceuticals uk ltd),1,,
3196,trimipramine 50mg capsules,1,,
10083,zispin soltab 30mg orodispersible tablets (merck sharp & dohme ltd),1,,
43256,mirtazapine 45mg orodispersible tablets (focus pharmaceuticals ltd),1,,
34525,dosulepin 75mg tablets (generics (uk) ltd),1,,
40295,valdoxan 25mg tablets (servier laboratories ltd),1,,
3194,clomipramine 10mg capsules,1,,
60138,fluoxetine 20mg orodispersible tablets sugar free,1,,
45664,depefex xl 150mg capsules (chiesi ltd),1,,
815,cipramil 40mg/ml drops (lundbeck ltd),1,,
56703,lofepramine 70mg tablets (sandoz ltd),1,,
470,venlafaxine 75mg modified-release capsules,1,,
43561,clomipramine 10mg capsules (teva uk ltd),1,,
1730,trazodone 100mg capsules,1,,
6442,trazodone 50mg/5ml oral solution sugar free,1,,
7328,sertraline 50mg/5ml oral suspension,1,,
43534,lofepramine 70mg/5ml oral suspension (rosemont pharmaceuticals ltd),1,,
6054,dosulepin 25mg/5ml oral solution sugar free,1,,
34822,citalopram 20mg tablets (zentiva),1,,
3355,trazodone 50mg capsules,1,,
45318,clomipramine 50mg capsules (a a h pharmaceuticals ltd),1,,
33720,citalopram 10mg tablets (ivax pharmaceuticals uk ltd),1,,
29875,dosulepin 25mg capsules (generics (uk) ltd),1,,
301,venlafaxine 37.5mg tablets,1,,
10948,dosulepin 75mg/5ml oral solution sugar free,1,,
12111,vivalan 50mg tablet (astrazeneca uk ltd),1,,
9534,nefazodone starter pack,1,,
55491,amitriptyline 10mg tablets (almus pharmaceuticals ltd),1,,
43519,citalopram 40mg tablet (neo laboratories ltd),1,,
52716,tonpular xl 75mg capsules (wockhardt uk ltd),1,,
3777,amitriptyline 10mg/5ml sugar free oral solution,1,,
33779,prozit 20mg/5ml oral solution (pinewood healthcare),1,,
33978,paroxetine 20mg tablets (generics (uk) ltd),1,,
1169,prothiaden 25mg capsules (teofarma),1,,
41528,citalopram 10mg tablets (teva uk ltd),1,,
60568,citalopram 20mg tablets (waymade healthcare plc),1,,
57107,amitriptyline 10mg tablets (phoenix healthcare distribution ltd),1,,
41627,lofepramine 70mg tablet (teva uk ltd),1,,
55033,citalopram 40mg tablets (de pharmaceuticals),1,,
52100,citalopram 10mg tablets (arrow generics ltd),1,,
51383,duloxetine 60mg gastro-resistant capsules (sigma pharmaceuticals plc),1,,
51361,venlafaxine 37.5mg tablets (ranbaxy (uk) ltd),1,,
19181,trazodone 100mg capsules (generics (uk) ltd),1,,
53808,trimipramine 10mg tablets (phoenix healthcare distribution ltd),1,,
43673,politid xl 150mg capsules (actavis uk ltd),1,,
8250,amitriptyline s/f 25 mg/5ml syr,1,,
3783,tranylcypromine 10mg tablets,1,,
21820,prepadine 25mg capsules (teva uk ltd),1,,
34503,amitriptyline 25mg tablets (ivax pharmaceuticals uk ltd),1,,
35112,seroxat 10mg tablets (glaxosmithkline uk ltd),1,,
53394,citalopram 20mg tablets (alliance healthcare (distribution) ltd),1,,
41597,clomipramine 50mg capsules (ivax pharmaceuticals uk ltd),1,,
54877,amitriptyline 25mg tablets (accord healthcare ltd),1,,
44853,dosulepin 25mg capsules (kent pharmaceuticals ltd),1,,
32546,paxoran 10mg tablet (ranbaxy (uk) ltd),1,,
1712,cipramil 20mg tablets (lundbeck ltd),1,,
603,escitalopram 10mg tablets,1,,
6846,zispin soltab 15mg orodispersible tablets (merck sharp & dohme ltd),1,,
1940,dothapax 25 capsules (ashbourne pharmaceuticals ltd),1,,
27476,iprindole hc 15mg,1,,
48045,fluvoxamine 100mg tablets (a a h pharmaceuticals ltd),1,,
8878,tryptizol 10mg/5ml sugar free oral solution (merck sharp and dohme ltd),1,,
7515,anafranil 10mg capsules (novartis pharmaceuticals uk ltd),1,,
14519,sinequan 75mg capsules (pfizer ltd),1,,
59193,citalopram 10mg tablets (ranbaxy (uk) ltd),1,,
2654,venlafaxine 150mg modified-release capsules,1,,
24147,amitriptyline 25mg tablets (teva uk ltd),1,,
54081,sertraline 25mg/5ml oral suspension,1,,
34866,clomipramine 10mg capsules (a a h pharmaceuticals ltd),1,,
5710,efexor xl 150mg capsules (pfizer ltd),1,,
2579,tofranil 10mg tablet (novartis pharmaceuticals uk ltd),1,,
46818,amitriptyline 10mg/5ml oral suspension,1,,
55970,nortriptyline 10mg tablets (king pharmaceuticals ltd),1,,
24134,amitriptyline 25mg tablets (kent pharmaceuticals ltd),1,,
38274,clomipramine 50mg/5ml oral suspension,1,,
841,seroxat 20mg tablets (glaxosmithkline uk ltd),1,,
4411,amoxapine 150mg tablets,1,,
21819,prepadine 75mg tablets (teva uk ltd),1,,
12192,norval 30mg tablet (bencard),1,,
26056,cipralex 10mg/ml oral drops (lundbeck ltd),1,,
3601,seroxat 20mg/10ml liquid (glaxosmithkline uk ltd),1,,
59288,paroxetine 10mg tablets (actavis uk ltd),1,,
54792,mirtazapine 30mg tablets (alliance healthcare (distribution) ltd),1,,
1474,efexor xl 75mg capsules (pfizer ltd),1,,
45350,clomipramine 25mg capsules (teva uk ltd),1,,
3771,amitriptyline 75 mg tab,1,,
623,efexor 37.5mg tablets (wyeth pharmaceuticals),1,,
30376,thaden 25mg capsules (opus pharmaceuticals ltd),1,,
39359,venlafaxine 75mg modified-release tablets,1,,
52867,amitriptyline 10mg tablets (accord healthcare ltd),1,,
34643,dosulepin 25mg capsules (almus pharmaceuticals ltd),1,,
59820,amitriptyline 50mg/5ml oral solution sugar free (wockhardt uk ltd),1,,
34641,dosulepin 25mg capsules (sovereign medical ltd),1,,
54747,optimax 500mg capsules (merck serono ltd),1,,
2320,prothiaden 75mg tablets (teofarma),1,,
2356,reboxetine 4mg tablets,1,,
41731,isocarboxazid 10mg tablet (cambridge laboratories ltd),1,,
34586,citalopram 10mg tablets (a a h pharmaceuticals ltd),1,,
41408,imipramine 25mg tablets (teva uk ltd),1,,
42228,trimipramine 10mg tablets (a a h pharmaceuticals ltd),1,,
59923,venlafaxine 37.5mg tablets (bristol laboratories ltd),1,,
21357,asendis 100mg tablet (wyeth pharmaceuticals),1,,
60449,venlafaxine 75mg tablets (a a h pharmaceuticals ltd),1,,
33410,fluoxetine 20mg capsules (zentiva),1,,
60410,amitriptyline 25mg/5ml oral solution sugar free (wockhardt uk ltd),1,,
19183,fluoxetine 20mg capsules (a a h pharmaceuticals ltd),1,,
25045,trimipramine,1,,
7816,concordin 5 tablet (merck sharp & dohme ltd),1,,
3668,imipramine 100 mg tab,1,,
23426,dosulepin 25mg capsules (a a h pharmaceuticals ltd),1,,
34216,fluoxetine 20mg/5ml oral solution (a a h pharmaceuticals ltd),1,,
34498,citalopram 10mg tablet (neo laboratories ltd),1,,
8844,tryptophan with ascorbic acid and pyridoxine powder,1,,
4310,trimipramine 10mg tablets,1,,
84,dosulepin 25mg capsules,1,,
25036,clomipramine hydrochloride,1,,
33337,mirtazapine 45mg tablets (a a h pharmaceuticals ltd),1,,
47363,mianserin 20mg tablet (berk pharmaceuticals ltd),1,,
6312,amitriptyline 25mg/5ml oral solution sugar free,1,,
55139,amitriptyline 25mg tablets (alliance healthcare (distribution) ltd),1,,
2290,fluvoxamine 100mg tablets,1,,
34782,amitriptyline 25mg tablets (a a h pharmaceuticals ltd),1,,
40396,amitriptyline 50mg tablet (berk pharmaceuticals ltd),1,,
3195,clomipramine 25 mg tab,1,,
22070,amitriptyline 10mg/5ml oral solution (rosemont pharmaceuticals ltd),1,,
53187,clomipramine 50mg capsules (kent pharmaceuticals ltd),1,,
2408,cipramil 40mg tablets (lundbeck ltd),1,,
